rank,SASRec,BERT4Rec,"gSASRec (256 negatives, t=1.0)"
2085,0.0004381464095786214,8.254195336121484e-07,8.037363272705988e-07
2086,0.0004370012029539794,8.250165706158441e-07,8.035807468331768e-07
2087,0.0004355705459602177,8.243544016295346e-07,8.025743909456651e-07
2088,0.00043515325523912907,8.231932611124648e-07,8.015654771043046e-07
2089,0.000432855449616909,8.215932894017897e-07,8.012750640773447e-07
2090,0.00043017289135605097,8.19990248146496e-07,7.986103582879878e-07
2091,0.00042910740012302995,8.194836595976085e-07,7.982471288414672e-07
2092,0.0004286965122446418,8.182669830603118e-07,7.922851068542514e-07
2093,0.0004278485430404544,8.179563337762374e-07,7.905778716121858e-07
2094,0.0004210635961499065,8.172249863491743e-07,7.894673217379022e-07
2095,0.0004198395472485572,8.165285407812917e-07,7.873245522205252e-07
2096,0.00041523718391545117,8.16081637822208e-07,7.85303541306348e-07
2097,0.0004145822022110224,8.139442115862039e-07,7.8341929565795e-07
2098,0.0004138171789236367,8.110524731819169e-07,7.823784926586086e-07
2099,0.0004104766412638128,8.098451758087322e-07,7.81655103310186e-07
2100,0.00041028825216926634,8.090377718872332e-07,7.788742664160964e-07
2101,0.00040743249701336026,8.07385958978557e-07,7.754427429063071e-07
2102,0.0004049369599670172,8.057468221522868e-07,7.740175647086289e-07
2103,0.0004047393740620464,8.026154887375014e-07,7.715111109973805e-07
2104,0.0004045588430017233,7.970509727783792e-07,7.70701490182546e-07
2105,0.00040219645597971976,7.964005703797739e-07,7.697215664848045e-07
2106,0.00040209770668298006,7.945646984808263e-07,7.682314162593684e-07
2107,0.00040122526115737855,7.942480237943528e-07,7.643182016181527e-07
2108,0.00039776653284206986,7.918309279375535e-07,7.640149988219491e-07
2109,0.00039697709144093096,7.888506274866813e-07,7.618322115376941e-07
2110,0.00039530868525616825,7.887310289333982e-07,7.53959056964959e-07
2111,0.00039359001675620675,7.873535423641442e-07,7.501091090489354e-07
2112,0.00039104835013858974,7.872949367992987e-07,7.472830816368514e-07
2113,0.00039098740671761334,7.864657618483761e-07,7.46396267459204e-07
2114,0.00038933378527872264,7.847074243727548e-07,7.459771609319432e-07
2115,0.0003879087162204087,7.76130491431104e-07,7.454978572241089e-07
2116,0.00038690990186296403,7.735479243820009e-07,7.412421041408379e-07
2117,0.0003869091742672026,7.688145728934614e-07,7.39931977022934e-07
2118,0.0003864985192194581,7.687434049330477e-07,7.335655709539424e-07
